name,Number of residents,year,Ages 0-5,Ages 6-17,Ages 18-29,Ages 30-39,Ages 40-49,Ages 50-59,Ages over 65,Working age,Gymn Ed,Prof Ed,Bachelors,Medium HE,Masters,No education,Currently studying,Entrepreneurs,Low income,Middle income,High income,Danish origin,Western,non-Western,wkb_geometry
Amalienborgs,273,2008,6.23000002,9.15999985,20.87999916,20.87999916,11.35999966,24.54000092,6.96000004,80.26999664,12.39999962,16.10000038,2.79999995,11.5,20.70000076,23,13.39999962,4.4000001,35.11999893,20.25,44.63000107,82.41999817,14.28999996,3.29999995
Toldbodens,356,2008,5.05999994,6.17999983,17.12999916,16.85000038,12.64000034,23.60000038,18.54000092,71.69999695,8.69999981,17.5,6.30000019,11.10000038,19.79999924,22.20000076,14.30000019,1.79999995,34.06000137,16.87999916,49.06000137,84.55000305,8.14999962,7.30000019
Rigensgades,635,2008,6.92999983,12.27999973,8.65999985,14.17000008,14.32999992,22.20000076,21.42000008,71.77999878,8.80000019,15.80000019,5.4000001,17.39999962,19.20000076,17.39999962,16.10000038,8.5,24.51000023,35.20999908,40.27000046,88.66000366,8.18999958,3.1500001
Gammelvagts,1053,2008,5.88999987,7.11999989,25.63999939,22.03000069,15.10000038,17,7.21999979,79.29000092,12.19999981,11.89999962,5.5,13.89999962,19.29999924,13.89999962,23.29999924,19,31.42000008,25.98999977,42.59999847,87.65000153,7.98000002,4.36999989
Nyboders,863,2008,6.71999979,6.26000023,49.59000015,16.11000061,13.67000008,6.71999979,0.93000001,91.36000061,13.30000019,14.89999962,2.79999995,11.19999981,12.39999962,14.39999962,31.10000038,16.70000076,16.44000053,35.63999939,47.93000031,95.83000183,2.67000008,1.50999999
Esplanadens,531,2008,5.6500001,7.90999985,16.95000076,22.40999985,14.11999989,21.65999985,11.30000019,74.63999939,12.89999962,9.69999981,4.5,16.60000038,25.5,17.29999924,13.60000038,7.30000019,32.47999954,20.37999916,47.13000107,87.56999969,9.03999996,3.3900001
Christiansholms,1053,2008,12.92000008,8.44999981,6.26999998,23.84000015,12.63000011,25.73999977,10.15999985,82.79000092,8.39999962,16.39999962,5.9000001,21.79999924,31.5,8.69999981,7.19999981,12.19999981,15.68000031,14.31999969,70,90.22000122,6.92999983,2.8499999
Vor Frelsers,1100,2008,6.36000013,6.63999987,19.18000031,21.54999924,12.55000019,20.63999939,13.09000015,75.44000244,9,16.70000076,4.80000019,14.69999981,18.20000076,17.10000038,19.5,13.30000019,33.13000107,31.79000092,35.08000183,90.55000305,6,3.45000005
Wilders,1619,2008,5.25,10.56000042,14.57999992,16.12000084,13.89999962,27.97999954,11.60999966,70.05000305,10.30000019,15,3.79999995,15.60000038,20.70000076,19.39999962,15.10000038,10.30000019,26.60000038,24.10000038,49.29999924,82.40000153,10.01000023,7.5999999
Christianskirkes,1094,2008,6.57999992,5.30000019,15.17000008,23.21999931,15.07999992,22.94000053,11.69999981,77.80000305,11.5,16.79999924,5.19999981,16.39999962,23.10000038,17.10000038,9.89999962,6.4000001,26.86000061,20.54999924,52.59000015,82.54000092,11.69999981,5.76000023
Skydeskolens,1712,2008,5.19999981,7.6500001,28.45000076,17.81999969,12.90999985,18.93000031,9.05000019,73.58999634,9,10.89999962,3.9000001,14.5,16.70000076,15,29.89999962,12.19999981,37.47999954,25.77000046,36.75999832,86.56999969,9.35000038,4.09000015
Prinsessegades,6,2008,0,0,16.67000008,16.67000008,33.33000183,33.33000183,0,66.66999817,0,50,16.70000076,0,0,16.70000076,16.70000076,0,0,0,0,83.33000183,0,16.67000008
Accisebodens,713,2008,6.17000008,8.69999981,10.93999958,15.98999977,11.07999992,18.09000015,29.03000069,71.23000336,10.39999962,13.39999962,4.69999981,18.60000038,22,17.60000038,13.39999962,10.89999962,21.70999908,36.40999985,41.88000107,88.36000061,8.42000008,3.23000002
Andreas Bjørns,1910,2008,5.44999981,10.47000027,23.13999939,19.05999947,13.35000038,20.42000008,8.11999989,71.62999725,9,12.30000019,3.9000001,16.20000076,16.70000076,20.39999962,21.60000038,18.39999962,32.90999985,30.30999947,36.77999878,84.34999847,9.01000023,6.6500001
Ulriks,819,2008,5.61999989,11.84000015,12.81999969,16.72999954,25.03000069,25.39999962,2.55999994,44.27999878,8,16.79999924,2.0999999,9.80000019,4.19999981,47.70000076,11.39999962,10,52.95999908,34.75,12.28999996,88.02999878,9.15999985,2.80999994
Tivolis,1219,2008,7.05000019,6.32000017,21.73999977,18.70000076,10.5,22.47999954,13.21000004,77.62000275,10.5,14.19999981,4.30000019,14.10000038,18.60000038,20.79999924,17.5,3.4000001,31.18000031,19.60000038,49.22999954,82.12000275,10.75,7.13999987
Reventlows,1036,2008,8.88000011,9.35999966,24.89999962,27.03000069,14.57999992,10.90999985,4.34000015,77.16000366,10,13.10000038,5.19999981,14,19.79999924,14.89999962,23.10000038,11.80000019,32.66999817,28,39.31999969,80.69000244,6.8499999,12.44999981
Helgolands,297,2008,5.38999987,5.38999987,35.68999863,23.56999969,8.07999992,12.78999996,9.09000015,81.33000183,12.89999962,12.89999962,2.9000001,13.30000019,14.19999981,15.39999962,28.29999924,8.10000038,39.72000122,29.07999992,31.20999908,89.55999756,8.07999992,2.3599999
Nyrops,850,2008,4.23999977,2.81999993,26.94000053,13.40999985,10.23999977,20.46999931,21.87999916,80.09999847,8.69999981,16,3,10.5,23.10000038,13.30000019,25.39999962,3.4000001,30.81999969,23.89999962,45.27999878,88.70999908,7.40999985,3.88000011
Gyldenløves,1129,2008,6.63999987,11.06999969,24.62000084,22.67000008,13.98999977,14.78999996,6.19999981,77.05000305,9.80000019,11.39999962,4.30000019,13.89999962,19.39999962,17.39999962,23.70000076,9,35.25,29.04999924,35.70000076,86.26999664,8.23999977,5.48999977
Ørsteds,1238,2008,8.31999969,6.61999989,22.54000092,25.85000038,14.22000027,14.77999973,7.67000008,75.98999786,9.5,13.89999962,3.79999995,15.10000038,18.70000076,20.10000038,18.79999924,12.30000019,37,27.22999954,35.77000046,85.45999908,8.39999962,6.13999987
Peblinge,1234,2008,7.69999981,9.56000042,19.61000061,23.01000023,15.88000011,15.47999954,8.75,74.90000153,9.80000019,12.89999962,3.9000001,16.29999924,17.5,20.20000076,19.39999962,11.30000019,33.40000153,26.79999924,39.81000137,82.66000366,10.93999958,6.4000001
Søtorvets,1050,2008,8.85999966,8.28999996,21.80999947,24.67000008,12.76000023,15.81000042,7.80999994,78.87999725,10.39999962,13.10000038,4.4000001,15.80000019,22,13.80000019,20.5,14.60000038,32.65000153,24.39999962,42.95999908,89.90000153,5.61999989,4.48000002
Rømers,269,2008,7.42999983,11.14999962,22.29999924,25.64999962,13.38000011,12.64000034,7.42999983,77.36000061,15.69999981,10.80000019,4.4000001,17.20000076,15.69999981,15.19999981,21.10000038,9.69999981,35.09000015,24.12000084,40.79000092,85.87000275,6.69000006,7.42999983
Frederiksborggades,791,2008,7.07999992,5.69000006,21.23999977,22.5,13.64999962,19.71999931,10.10999966,72.86000061,10.5,10.89999962,4.19999981,14.60000038,20.70000076,20.39999962,18.60000038,10,33.58000183,24.42000008,42.00999832,86.59999847,8.47000027,4.92999983
Kommunehospitalets,397,2008,5.03999996,8.06000042,29.21999931,23.68000031,12.09000015,14.10999966,7.80999994,75.69000244,11.69999981,8.89999962,6,11.69999981,19.60000038,17.70000076,24.39999962,7.19999981,46.88000107,22.15999985,30.96999931,81.86000061,12.34000015,5.78999996
Rørholms,1615,2008,9.22999954,8.85000038,22.85000038,23.95999908,12.88000011,15.10999966,7.11999989,79.23000336,8.5,13.60000038,5.0999999,17.5,21.60000038,13.39999962,20.29999924,17.79999924,29.15999985,22.34000015,48.5,87.43000031,8.78999996,3.77999997
Webers,1313,2008,8.22999954,12.72000027,18.28000069,19.64999962,12.10999966,19.5,9.52000046,79.44000244,11.80000019,9.80000019,3.4000001,16,28.10000038,14.19999981,16.60000038,11.10000038,28.38999939,16.82999992,54.77999878,87.97000122,9.14000034,2.8900001
Sankt Johannes,1764,2008,8.67000008,4.13999987,37.06999969,28.68000031,11,7.5999999,2.82999992,80.55000305,11.10000038,9.5,3.79999995,13.10000038,18.29999924,14.30000019,29.79999924,16.89999962,40.84999847,27.12000084,32.02999878,87.69999695,8.27999973,4.01999998
Sølvgades,867,2008,7.5,8.88000011,19.71999931,22.95000076,11.88000011,18.69000053,10.38000011,78.29000092,9,12.30000019,4.5,14.5,23.79999924,18.5,17.39999962,4.30000019,26.48999977,29.35000038,44.15999985,85.12000275,9.22999954,5.6500001
Øster Farimagsgades,987,2008,9.02000046,13.97999954,13.88000011,18.63999939,13.57999992,20.77000046,10.13000011,79.51000214,10.19999981,9.5,3.9000001,18.70000076,29.20000076,11.69999981,16.89999962,10.5,24.29000092,18.21999931,57.49000168,90.68000031,6.59000015,2.74000001
